Продукт,Цена за тонну
пшеница,10279
кукуруза,10059
ячмень,9552
рожь,8073
овес,6877
просо,13387
гречиха,13771
овощи бобовые сушеные (культуры зернобобовые),11791
семена подсолнечника,18087
капуста всех сортов,15932
огурцы,77332
томаты (помидоры),84947
морковь столовая,11528
лук репчатый,14842
свекла столовая,10576
картофель,10555
крупный рогатый скот,104680
овцы и козы ,101308
свиньи,94766
птица сельскохозяйственная живая,75565
Молоко сырое крупного рогатого скота,24875
Яйца куриные в скорлупе свежие (тыс.шт).,4180
